Altium Designer Pick and Place Locations
Y:\51 연구소 공유폴더\자료\5007) LG전자용 모듈 개발\개발 자료\회로도\5_5차(~ing)\R06\ARES_R06_Power_V24 (2021-04-05 오후 3-27-17)\Gerber_File\Pick Place\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       07-04-21
Time:       19:05
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U331","INA240A1PWR","TopLayer","TSSOP-8","-10.0000","33.0000","90","IC CURR SENSE 1 CIRCUIT 8TSSOP"
"R356","12R(10)","TopLayer","R-1005S","-5.0000","31.2500","180",""
"R355","12R(10)","TopLayer","R-1005S","-5.0000","30.2500","180",""
"R354","12R(10)","TopLayer","R-1005S","-5.0000","26.7500","180",""
"R353","12R(10)","TopLayer","R-1005S","-5.0000","25.7500","180",""
"C359","100nF(16)","TopLayer","C-1608","-15.9251","32.6750","180",""
"C358","330pF(10)","TopLayer","C-1005S","-6.5000","30.7500","270",""
"C357","100nF(16)","BottomLayer","C-1608S","-13.3000","33.0000","270",""
"C356","100nF(16)","TopLayer","C-1608","-15.9251","28.1750","180",""
"C355","330pF(10)","TopLayer","C-1005S","-6.5000","26.2500","270",""
"C354","100nF(16)","BottomLayer","C-1608S","-13.3000","28.5000","270",""
"C353","100nF(16)","TopLayer","C-1608","-15.9251","23.6750","180",""
"R341","26K(20)","TopLayer","R-2012S","-0.2500","-27.7500","360",""
"FB211","CP201209T-151Y","TopLayer","L-2012","-27.5000","-8.5000","90",""
"VPout","1823191","TopLayer","1823191-2P","27.0500","-21.8500","52",""
"VPin","1823191","TopLayer","1823191-2P","31.5500","-14.6000","64",""
"VCout","MOLEX_502443-0260","TopLayer","MOLEX_502443-0260","11.5251","-31.2751","45",""
"VCin","MOLEX_502443-0260","TopLayer","MOLEX_502443-0260","19.3751","-27.0251","45",""
"V12G","TP","TopLayer","TP-SMD","-11.6250","-10.3750","270",""
"V5C","TP","TopLayer","TP-SMD","-25.0000","-5.7500","270",""
