Altium Designer Pick and Place Locations
D:\0작업진행\1하이젠모터\ARES_R30_Power\Gerber\Pick Place\Generates pick and place files.csv

========================================================================================================================
File Design Information:

Date:       07-04-21
Time:       12:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R131A","2M(32)","TopLayer","R-3216S","36.7500","27.0000","270",""
"C131A","1uF(32)","TopLayer","C-3216S","34.2500","26.9999","270",""
"M2","SMTSOB-M3-2ET, PEM","BottomLayer","SMTSOB-M3-2","0.0001","-36.0081","180",""
"M8","NTH4.1","TopLayer","NTH4.1","-33.5881","33.5799","0",""
"M7","TH3.5","TopLayer","MH-3.5MM","33.5880","33.5880","0",""
"M5","NTH4.1","TopLayer","NTH4.1","-33.5881","-33.5961","0",""
"R344","100R(32)","TopLayer","R-3216S","-18.0000","-42.2500","90",""
"C405","10uF(16)","TopLayer","C-1608S","-24.7500","10.3751","90",""
"C404","1nF(16)","TopLayer","C-1608S","-17.5000","6.0000","90",""
"C116","EEHZC1J220XP, D6.3H7.7","BottomLayer","EC-F80","-13.2500","-40.2500","180",""
"C359","100nF(16)","BottomLayer","C-1608","-27.3000","36.5000","90",""
"C132","EEHZC1J220XP, D6.3H7.7","BottomLayer","EC-F80","14.7500","-22.7500","270",""
"C454","47uF/63V/ZC_Series(8D_10.2L)","TopLayer","EC-H10","-12.5000","43.6000","90","EEE-FK1J680UP"
"C453","47uF/63V/ZC_Series(8D_10.2L)","TopLayer","EC-H10","13.0000","43.6000","90","EEE-FK1J680UP"
"C125","10uF/100V(3225)","BottomLayer","C-3225","13.0000","45.5000","90",""
"R463","0R02/3W(6432)","BottomLayer","R-6432","9.5000","9.0000","90",""
"M4","SMTSOB-M3-2ET, PEM(BOTTOM)","BottomLayer","SMTSOB-M3-2_BOT","-31.1768","17.9920","180",""
"M3","SMTSOB-M3-2ET, PEM(BOTTOM)","BottomLayer","SMTSOB-M3-2_BOT","31.1770","17.9920","180",""
"D102","5.0SMDJ70CA/LittelFuse","TopLayer","DO-214AB","23.5000","-8.7500","180",""
"BRK-","TP","TopLayer","TP-SMD","-36.2500","-12.0000","180",""
"/FLT","TP","TopLayer","TP-SMD","-24.7500","2.5800","360",""
